"Batch.Order.ID","Market.Name","Stock.Name","Order.Type","Price","Quantity","Created.At","Quantity.Filled","GJP.User.ID"
899,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",2,100,"8/20/14 8:57",100,2479
911,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","buy",4,100,"8/20/14 9:14",0,15500
913,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",24,100,"8/20/14 9:15",0,15500
914,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",29,150,"8/20/14 9:16",0,15500
915,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",21,300,"8/20/14 9:16",0,15500
917,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","sell",70,100,"8/20/14 9:17",0,15500
918,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","sell",76,150,"8/20/14 9:17",0,15500
919,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",3,500,"8/20/14 9:18",0,15500
920,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",2,800,"8/20/14 9:18",0,15500
921,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",5,100,"8/20/14 9:18",100,1281
922,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",22,100,"8/20/14 9:19",0,15500
925,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","buy",1,100,"8/20/14 9:22",0,958
929,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",24,100,"8/20/14 9:24",0,15500
930,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",29,200,"8/20/14 9:25",0,15500
931,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",34,300,"8/20/14 9:25",0,15500
932,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",60,100,"8/20/14 9:26",0,3926
933,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",75,100,"8/20/14 9:26",0,3926
934,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",80,100,"8/20/14 9:27",0,3926
935,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",60,100,"8/20/14 9:27",0,3926
936,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",2,10,"8/20/14 9:29",10,15691
937,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",50,100,"8/20/14 9:30",0,3926
940,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",20,100,"8/20/14 9:32",0,6707
941,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",30,200,"8/20/14 9:33",0,6707
942,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",20,100,"8/20/14 9:33",0,6707
943,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",10,100,"8/20/14 9:34",0,6707
944,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","sell",80,100,"8/20/14 9:35",0,6707
945,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","buy",10,100,"8/20/14 9:35",0,6707
947,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","sell",80,100,"8/20/14 9:35",0,6707
948,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a sentence less than life","buy",10,100,"8/20/14 9:36",0,6707
949,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a sentence less than life","sell",70,100,"8/20/14 9:36",0,6707
950,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","buy",10,100,"8/20/14 9:36",51,6707
951,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","sell",70,100,"8/20/14 9:36",0,6707
952,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",30,100,"8/20/14 9:37",0,6707
953,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","buy",2,50,"8/20/14 9:44",0,1281
959,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","buy",4,100,"8/20/14 9:51",0,1281
964,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","sell",35,50,"8/20/14 9:59",0,15691
971,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",10,200,"8/20/14 10:02",0,8420
973,"1410 - Will an independence referendum *pass in Scotland?","Yes","buy",5,100,"8/20/14 10:03",0,8420
974,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",95,100,"8/20/14 10:03",0,8420
979,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",65,100,"8/20/14 10:05",100,8420
983,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",5,100,"8/20/14 10:08",100,8420
984,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",80,100,"8/20/14 10:09",0,6396
985,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",10,10,"8/20/14 10:11",0,3037
986,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",1,1,"8/20/14 10:12",0,3037
993,"1409 - Will a runoff be required in Brazil's 2014 presidential election?","Yes","buy",60,10,"8/20/14 10:14",0,3037
994,"1409 - Will a runoff be required in Brazil's 2014 presidential election?","Yes","sell",98,1,"8/20/14 10:15",0,3037
1007,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",38,40,"8/20/14 11:13",0,1547
1024,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",15,100,"8/20/14 11:27",0,958
1035,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",40,50,"8/20/14 12:03",0,14188
1037,"1413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 1 January 2015?","Yes","sell",35,50,"8/20/14 12:04",0,14188
1042,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",5,20,"8/20/14 12:04",0,3480
1045,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",20,65,"8/20/14 12:05",65,14188
1047,"1409 - Will a runoff be required in Brazil's 2014 presidential election?","Yes","buy",80,50,"8/20/14 12:05",0,14188
1050,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",20,50,"8/20/14 12:05",0,14188
1051,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",20,50,"8/20/14 12:06",0,14188
1054,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",35,50,"8/20/14 12:06",0,14188
1058,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",25,25,"8/20/14 12:07",25,9006
1062,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",10,25,"8/20/14 12:08",0,9075
1065,"1413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 1 January 2015?","Yes","sell",70,100,"8/20/14 12:08",0,14271
1066,"1411 - Will North Korea test a *long-range missile **before 1 June 2015?","If South Korea agrees to deploy the U.S. military's Terminal High-Altitude Area Defense (THAAD) missile defense system","buy",25,1,"8/20/14 12:08",1,9006
1068,"1411 - Will North Korea test a *long-range missile **before 1 June 2015?","If South Korea does not agree to deploy the U.S. military's Terminal High-Altitude Area Defense (THAAD) missile defense system","buy",25,1,"8/20/14 12:08",1,9006
1070,"1409 - Will a runoff be required in Brazil's 2014 presidential election?","Yes","buy",60,100,"8/20/14 12:08",0,14271
1075,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",8,40,"8/20/14 12:09",0,9860
1077,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",7,20,"8/20/14 12:09",0,9860
1086,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",40,100,"8/20/14 12:10",0,6707
1087,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",50,100,"8/20/14 12:10",0,13797
1088,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",70,100,"8/20/14 12:11",0,14271
1093,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",79,100,"8/20/14 12:11",0,6707
1095,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",10,40,"8/20/14 12:11",0,9860
1101,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",20,25,"8/20/14 12:13",0,13130
1102,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",25,25,"8/20/14 12:13",0,13130
1103,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",30,50,"8/20/14 12:13",0,13130
1105,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",40,100,"8/20/14 12:13",0,13130
1107,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",30,75,"8/20/14 12:14",0,1485
1110,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",20,25,"8/20/14 12:14",0,1485
1112,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",5,100,"8/20/14 12:14",0,13130
1115,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",25,25,"8/20/14 12:15",25,13130
1118,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",40,25,"8/20/14 12:15",0,13130
1119,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",50,50,"8/20/14 12:15",0,13130
1152,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",40,20,"8/20/14 12:19",0,9835
1156,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",20,30,"8/20/14 12:19",30,1485
1158,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",35,5,"8/20/14 12:19",0,9835
1164,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",20,25,"8/20/14 12:20",0,1485
1166,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",20,5,"8/20/14 12:20",0,9835
1168,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",15,20,"8/20/14 12:20",0,9835
1169,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",20,20,"8/20/14 12:20",0,3480
1174,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",25,5,"8/20/14 12:21",0,9835
1176,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",21,5,"8/20/14 12:21",0,9835
1179,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",70,25,"8/20/14 12:21",0,13130
1181,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",75,25,"8/20/14 12:21",0,13130
1182,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",80,50,"8/20/14 12:22",0,13130
1183,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",85,200,"8/20/14 12:22",0,13130
1186,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",60,100,"8/20/14 12:22",37,9075
1187,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",55,25,"8/20/14 12:22",0,13130
1190,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",50,25,"8/20/14 12:22",0,13130
1191,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",45,50,"8/20/14 12:22",0,13130
1193,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",35,100,"8/20/14 12:22",0,13130
1199,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",1,10,"8/20/14 12:23",10,3480
1201,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",20,20,"8/20/14 12:23",0,9075
1202,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",65,30,"8/20/14 12:24",0,9075
1204,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",20,50,"8/20/14 12:24",0,13130
1205,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",15,50,"8/20/14 12:24",0,13130
1207,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",10,200,"8/20/14 12:24",0,13130
1211,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",35,25,"8/20/14 12:24",25,13130
1212,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",40,25,"8/20/14 12:24",0,13130
1213,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",50,50,"8/20/14 12:24",0,13130
1224,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",10,100,"8/20/14 12:25",0,13130
1229,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",45,25,"8/20/14 12:26",0,13130
1231,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",40,25,"8/20/14 12:26",0,13130
1233,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",35,50,"8/20/14 12:26",0,13130
1236,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",30,100,"8/20/14 12:26",0,13130
1240,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","sell",25,50,"8/20/14 12:26",0,13130
1242,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a sentence less than life","sell",30,50,"8/20/14 12:26",0,13130
1243,"1413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 1 January 2015?","Yes","sell",50,10,"8/20/14 12:26",0,3422
1245,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","sell",65,50,"8/20/14 12:27",0,13130
1254,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",40,20,"8/20/14 12:27",0,3480
1255,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",20,50,"8/20/14 12:27",0,3422
1258,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","buy",30,20,"8/20/14 12:27",0,3480
1260,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",10,50,"8/20/14 12:27",0,13130
1264,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a sentence less than life","sell",10,10,"8/20/14 12:28",10,3480
1265,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",33,25,"8/20/14 12:28",0,13130
1266,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",45,50,"8/20/14 12:28",0,13130
