"Batch.Order.ID","Market.Name","Stock.Name","Order.Type","Price","Quantity","Created.At","Quantity.Filled","GJP.Team.ID","GJP.User.ID"
11998,"1457 - Will a *no-fly zone over any part of Syria be **officially announced **before 1 March 2015?","Yes","buy",45,35,"10/22/14 22:56",0,22,22138
11999,"1456 - By how much will Chinese power consumption *grow in 2014?","More than 6%","sell",65,300,"10/22/14 22:57",0,23,22140
12000,"1456 - By how much will Chinese power consumption *grow in 2014?","More than 6%","buy",50,100,"10/22/14 22:57",60,22,22138
12001,"1456 - By how much will Chinese power consumption *grow in 2014?","More than 6%","sell",55,250,"10/22/14 22:57",0,23,22140
12002,"1455 - Will Iran host a *head of state from one of the G8 countries or China on an official visit **before 1 June 2015?","Yes","sell",25,25,"10/22/14 22:58",25,22,22138
12003,"1456 - By how much will Chinese power consumption *grow in 2014?","More than 6%","sell",50,200,"10/22/14 22:58",0,23,22140
12004,"1456 - By how much will Chinese power consumption *grow in 2014?","More than 6%","sell",46,150,"10/22/14 22:58",0,23,22140
12005,"1456 - By how much will Chinese power consumption *grow in 2014?","More than 6%","sell",42,125,"10/22/14 22:59",0,23,22140
12006,"1454 - Will Germany **officially report a negative GDP growth rate for the third quarter of 2014?","Yes","sell",35,50,"10/22/14 22:59",50,22,22138
12007,"1457 - Will a *no-fly zone over any part of Syria be **officially announced **before 1 March 2015?","Yes","buy",11,100,"10/22/14 23:02",0,23,22140
12008,"1457 - Will a *no-fly zone over any part of Syria be **officially announced **before 1 March 2015?","Yes","sell",89,100,"10/22/14 23:03",0,23,22140
12009,"1453 - Which country (or countries) will **officially join the Asian Infrastructure Investment Bank before or at the Asia-Pacific Economic Cooperation (APEC) meeting?","Both Australia and South Korea","buy",30,10,"10/22/14 23:03",0,22,22138
12011,"1461 - Will there be a *significant **lethal confrontation between **national military forces from Iran and Pakistan **before 15 December 2014?","Yes","sell",35,10,"10/29/14 10:04",10,3,5317
12017,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",75,100,"10/29/14 10:11",100,29,24184
12019,"1461 - Will there be a *significant **lethal confrontation between **national military forces from Iran and Pakistan **before 15 December 2014?","Yes","buy",70,50,"10/29/14 10:12",50,29,24184
12030,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",40,15,"10/29/14 10:19",0,7,5483
12073,"1461 - Will there be a *significant **lethal confrontation between **national military forces from Iran and Pakistan **before 15 December 2014?","Yes","sell",1,10,"10/29/14 10:40",10,25,22171
12074,"1462 - **Before 10 June 2015, will Iraq's parliament approve the creation of an Iraqi National Guard?","Yes","sell",50,10,"10/29/14 10:41",10,2,21998
12077,"1461 - Will there be a *significant **lethal confrontation between **national military forces from Iran and Pakistan **before 15 December 2014?","Yes","sell",50,10,"10/29/14 10:44",0,2,21998
12081,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","sell",50,10,"10/29/14 10:47",10,2,21998
12085,"1462 - **Before 10 June 2015, will Iraq's parliament approve the creation of an Iraqi National Guard?","Yes","buy",50,25,"10/29/14 10:50",0,3,22176
12095,"1462 - **Before 10 June 2015, will Iraq's parliament approve the creation of an Iraqi National Guard?","Yes","buy",40,5,"10/29/14 10:58",0,11,3881
12097,"1461 - Will there be a *significant **lethal confrontation between **national military forces from Iran and Pakistan **before 15 December 2014?","Yes","sell",30,25,"10/29/14 10:59",25,3,22176
12101,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",70,25,"10/29/14 11:02",25,3,22176
12109,"1459 - Will Goodluck Jonathan **vacate the office of President of Nigeria **before 10 June 2015?","Yes","sell",40,25,"10/29/14 11:06",0,3,22176
12121,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",70,10,"10/29/14 11:13",10,23,22140
