"Batch.Order.ID","Market.Name","Stock.Name","Order.Type","Price","Quantity","Created.At","Quantity.Filled","GJP.User.ID"
870,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",20,20,"8/20/14 7:50",0,21837
871,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",15,20,"8/20/14 7:51",0,21837
872,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",63,100,"8/20/14 7:53",55,21837
874,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",30,10,"8/20/14 8:13",0,21601
883,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",20,50,"8/20/14 8:34",0,21627
890,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",10,50,"8/20/14 8:44",50,21782
892,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",10,10,"8/20/14 8:52",10,21661
893,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",10,5,"8/20/14 8:52",5,21661
903,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",40,50,"8/20/14 9:00",0,21844
909,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",10,20,"8/20/14 9:11",20,21662
910,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",15,200,"8/20/14 9:12",0,21633
912,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",30,200,"8/20/14 9:15",0,21633
923,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",25,100,"8/20/14 9:19",0,21762
927,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","buy",12,10,"8/20/14 9:24",0,21820
928,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",30,20,"8/20/14 9:24",20,21820
946,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","buy",12,100,"8/20/14 9:35",0,14312
955,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",50,50,"8/20/14 9:47",0,21840
956,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","buy",10,50,"8/20/14 9:48",50,21840
958,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","sell",55,50,"8/20/14 9:49",0,21840
966,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",49,10,"8/20/14 10:00",0,21735
980,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",50,50,"8/20/14 10:06",0,21840
982,"1413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 1 January 2015?","Yes","buy",60,5,"8/20/14 10:07",5,8371
990,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",20,10,"8/20/14 10:13",0,21802
996,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",70,100,"8/20/14 10:22",100,21633
997,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",65,10,"8/20/14 10:22",10,4064
998,"1409 - Will a runoff be required in Brazil's 2014 presidential election?","Yes","buy",75,50,"8/20/14 10:23",0,21846
999,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",70,11,"8/20/14 10:23",11,4064
1003,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",20,200,"8/20/14 10:36",0,21772
1004,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",48,100,"8/20/14 10:50",0,21772
1005,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",49,10,"8/20/14 10:57",10,21735
1006,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",64,10,"8/20/14 10:58",10,21735
1011,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",50,10,"8/20/14 11:17",0,21636
1013,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","buy",70,10,"8/20/14 11:20",10,21636
1015,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",70,211,"8/20/14 11:20",211,5678
1016,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",70,211,"8/20/14 11:21",211,5678
1017,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",30,100,"8/20/14 11:24",0,5678
1021,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",66,10,"8/20/14 11:25",0,21636
1023,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","buy",50,5,"8/20/14 11:26",0,21636
1026,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","buy",20,5,"8/20/14 11:27",0,21636
1032,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",50,100,"8/20/14 12:02",0,9045
1033,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",50,100,"8/20/14 12:03",0,9045
1041,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",60,100,"8/20/14 12:04",100,478
1052,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",30,10,"8/20/14 12:06",0,21698
1056,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",40,50,"8/20/14 12:06",0,478
1057,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",35,30,"8/20/14 12:06",30,21627
1060,"1410 - Will an independence referendum *pass in Scotland?","Yes","buy",20,50,"8/20/14 12:07",0,6759
1064,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",70,50,"8/20/14 12:08",0,6759
1067,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",40,10,"8/20/14 12:08",0,21698
1072,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",70,20,"8/20/14 12:09",20,478
1073,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",20,20,"8/20/14 12:09",0,6759
1078,"1413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 1 January 2015?","Yes","buy",10,10,"8/20/14 12:09",0,6759
1082,"1413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 1 January 2015?","Yes","buy",40,10,"8/20/14 12:10",0,21698
1084,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",40,30,"8/20/14 12:10",0,21820
1085,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",50,50,"8/20/14 12:10",0,6759
1097,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",20,20,"8/20/14 12:12",20,14312
1099,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",40,10,"8/20/14 12:12",0,21698
1116,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",50,30,"8/20/14 12:15",30,21820
1131,"1410 - Will an independence referendum *pass in Scotland?","Yes","buy",35,10,"8/20/14 12:16",0,21698
1143,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",50,10,"8/20/14 12:18",10,6727
1144,"1411 - Will North Korea test a *long-range missile **before 1 June 2015?","If South Korea agrees to deploy the U.S. military's Terminal High-Altitude Area Defense (THAAD) missile defense system","buy",50,10,"8/20/14 12:18",0,21698
1151,"1409 - Will a runoff be required in Brazil's 2014 presidential election?","Yes","buy",50,10,"8/20/14 12:19",0,21698
1157,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",50,50,"8/20/14 12:19",0,6727
1173,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",20,100,"8/20/14 12:20",0,6727
1175,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","buy",10,14,"8/20/14 12:21",14,21698
1185,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","buy",20,10,"8/20/14 12:22",10,21698
1196,"1410 - Will an independence referendum *pass in Scotland?","Yes","buy",20,100,"8/20/14 12:23",0,21627
1197,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",65,10,"8/20/14 12:23",0,21698
1203,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",50,25,"8/20/14 12:24",0,6727
1206,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",65,100,"8/20/14 12:24",100,6727
1217,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",45,25,"8/20/14 12:25",0,6727
1218,"1413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 1 January 2015?","Yes","sell",40,200,"8/20/14 12:25",200,21633
1221,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",40,12,"8/20/14 12:25",0,6727
1222,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a sentence less than life","buy",15,10,"8/20/14 12:25",0,21698
1226,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",37,5,"8/20/14 12:25",0,6727
1239,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",10,10,"8/20/14 12:26",10,21698
1269,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",5,500,"8/20/14 12:28",0,21668
1276,"1410 - Will an independence referendum *pass in Scotland?","Yes","buy",1,1000,"8/20/14 12:29",0,6727
1278,"1410 - Will an independence referendum *pass in Scotland?","Yes","buy",2,500,"8/20/14 12:29",0,6727
1280,"1410 - Will an independence referendum *pass in Scotland?","Yes","buy",3,125,"8/20/14 12:30",0,6727
1282,"1410 - Will an independence referendum *pass in Scotland?","Yes","buy",4,50,"8/20/14 12:30",0,6727
1284,"1410 - Will an independence referendum *pass in Scotland?","Yes","buy",5,25,"8/20/14 12:30",0,6727
1286,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",50,50,"8/20/14 12:30",0,6727
1289,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",75,10,"8/20/14 12:31",0,21634
1290,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",45,25,"8/20/14 12:31",0,6727
1292,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",40,25,"8/20/14 12:31",0,6727
1294,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",37,12,"8/20/14 12:31",0,6727
1295,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",35,12,"8/20/14 12:31",0,6727
1297,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",30,10,"8/20/14 12:31",10,6727
1301,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",25,5,"8/20/14 12:32",5,6727
1302,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",20,3,"8/20/14 12:32",3,6727
1308,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",45,10,"8/20/14 12:33",10,6727
1310,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",40,10,"8/20/14 12:33",10,6727
